model,make,make_id,generation,year_from,year_to,series,trim,body_type,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,Npęd na wszystkie koła_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,fuel_grade,back_suspension,rear_brakes,front_brakes,front_suspension,car_class,country_of_origin,number_of_doors
Xantia,Citroen,3,1 generacja,1992,1998,Hatchback 5-drzwiowy,1.6 MT,,5,4440,1760,1379,2741,,,1170,175/70/R14,,,,1440,1481,160,1710,,878,480,130,Wtrysk bezpoĹ›redni (wielopunktowy),,inline,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xsara,Citroen,3,1 generacja,1997,2000,Break wagon,1.4 MT,Wagon,5,4167,1698,1405,2540,1423,1430,1137,,110,,,,,,1580,,515,515,111,Wtrysk bezpoĹ›redni,,Inline,4,,Benzyna,2,,,,,3400,,,1360,75,5500,Npęd na przednie koła,5,11,,,,,,,,,,,,,,
Xsara Picasso,Citroen,3,1 generacja,1999,2004,Minivan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravo,Fiat,4,1 generacja,1995,2001,Hatchback 3-drzwiowy,1.2 MT,Hatchback,5,4026,1740,1420,2540,1440,1461,1010,,150,,,,,,1510,,1030,280,113,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,70,78,,4250,,,1242,82,5500,Npęd na przednie koła,5,,Manualna,6,,,,,,,,,,,,
Cinquecento,Fiat,4,1 generacja,1991,1998,Hatchback,0.7 MT,Hatchback,5,3227,1487,1435,2200,1270,1276,690,,,,,,,,1090,,810,170,47,Gaźnik,,Inline,4,,Benzyna,2,,80,70,,2750,,,704,31,5000,Npęd na przednie koła,4,,Manualna,,,35,,,95,Sprężyny śrubowe,Bębnowe,Tarczowe,Wahacz,,,
Panda,Fiat,4,1 generacja,1980,1986,Hatchback,0.8 MT,Hatchback,5,3408,1494,1420,2159,1263,1265,715,,130,,,,,,1115,,630,270,59,Gaźnik,,Inline,4,,Benzyna,2,,70,64,,2800,,,843,34,5800,Npęd na przednie koła,5,9,Manualna,5,,,,,,,,,,,,
Punto,Fiat,4,1 generacja,1993,1999,Hatchback,1.1 MT,Hatchback,5,3760,1625,1460,2450,1395,1377,842,,,,,,,,1300,,1080,275,85,Wtrysk pojedynczy,,Inline,4,,Benzyna,2,,70,72,,3500,,,1108,55,5500,Npęd na przednie koła,5,,Manualna,6,,47,16,150,95,Wahacze wleczone,Bębnowe,Tarczowe,Wahacz,,,
Seicento,Fiat,4,1 generacja,1998,2004,Hatchback 3-drzwiowy,0.9 MT,,4,3337,1508,1420,2200,,,705,155/65/R13,,,,1272,1277,160,1150,,810,170,65,Wtrysk Centralneny (single-point or single-point),,inline,4,,Benzyna,4,Brak,,,Przód,3000,29,,899,39,5500,Npęd na przednie koła,5,,Manualna,6,,,,,,,,,,,,
Stilo,Fiat,4,1 generacja,2001,2010,Hatchback 3-drzwiowy,1.2 MT,Hatchback,5,4180,1785,1475,2600,1515,1510,1090,,150,,,,,,1600,,1000,305,114,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,70,78,,4000,,,1242,80,5000,Npęd na przednie koła,6,,Manualna,6,,,,,,,,,,,,
Fiesta,Ford,5,1 generacja,1976,1983,Hatchback 3-drzwiowy,1.0 MT,Hatchback,4,3648,1567,1359,2286,1334,1321,715,,140,,,,,,1160,,999,200,64,Gaźnik,,Inline,4,,Benzyna,2,,74,55,,2700,,Obecny,957,40,5500,Npęd na przednie koła,4,9,,,,,,,,,,,,,,
Focus,Ford,5,1 generacja,1998,2004,Hatchback 3-drzwiowy,1.4 AT,Hatchback,5,4152,1698,1430,2615,,,,,,,,,,,,,,,123,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,,,,3500,,,1388,75,5000,Npęd na przednie koła,4,,Automatyczna,,,,,,95,,,,,,,
Galaxy,Ford,5,1 generacja,1995,2000,Minivan 5-drzwiowy,1.9 TDi AT,Minivan,7,4617,1810,1730,2835,1530,1524,1820,,150,3920,600,,,,2420,1210/1250,2610,256,235,Wtrysk bezpoĹ›redni,,Inline,4,,Diesel,2,Turbo,79,95,,1900,,Obecny,1896,110,4150,Npęd na przednie koła,4,11,,,,,,,,,,,,,,
Agila,Opel,6,1 generacja,2000,2003,Microvan,1.0 MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra,Opel,6,F,1991,1994,Kabriolet,1.4 MT,Kabriolet,4,4239,1688,1410,2517,1430,1423,1055,,130,2385,480,,,,1535,,720,390,113,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,2,,77,73,,3400,,Obecny,1389,82,5800,Npęd na przednie koła,5,10,,,,,,,,,,,,,,
Corsa,Opel,6,A,1982,1993,Hatchback 3-drzwiowy,1.0 MT,Hatchback,5,3650,1535,1375,3650,1535,1540,760,,140,,,,,,1255,,845,845,68,Gaźnik,,Inline,4,,Benzyna,2,,72,61,,2600,,,993,45,5400,Npęd na przednie koła,4,,Manualna,6,630|1,,,,,,,,,,,
Omega,Opel,6,A,1986,1990,Sedan,1.8 AT,Sedan,5,4687,1772,1445,2730,1445,1460,1235,,140,,,,,,1795,,870,520,160,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,2,,84,79,,4600,,,1796,115,5600,Npęd na tylne koła,4,10,,,,,,,,,,,,,,
206,Peugeot,7,1 generacja,1998,2003,CC Kabriolet,1.6 AT,Kabriolet,4,3835,1673,1374,2442,1439,1430,1152,,110,,420,,,,1572,,410,175,147,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,78,82,,4000,,,1587,109,5750,Npęd na przednie koła,4,10,,,,,,,,,,,,,,
306,Peugeot,7,1 generacja,1993,1997,Kabriolet,1.8 AT,Kabriolet,4,4144,1689,1356,2540,1454,1429,,,110,,,,,,,,274,274,153,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,2,,83,81,,3000,,,1762,101,6000,Npęd na przednie koła,4,,Automatyczna,,,56,,,95,Wahacze wleczone,Bębnowe,Tarczowe (wentylowane),Wahacz,,,
Fabia,Skoda,8,1 generacja [redesign],2004,2007,Hatchback 5-drzwiowy,1.2 MT,,5,3960,1646,1451,2464,,,1010,165/70/R14,,,,1424,1435,140,1515,,1060,260,106,Wtrysk bezpoĹ›redni (wielopunktowy),,inline,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octavia,Skoda,8,1 generacja,1996,2000,Combi wagon 5-drzwiowy,1.4 MT,Wagon,5,4511,1731,1448,2512,1516,1492,,,137,,,,,,,,1512,548,120,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,2,,75,78,,2500,,Obecny,1397,60,4500,Npęd na przednie koła,5,10,,,,,,,,,,,,,,
Grand Vitara,Suzuki,9,1 generacja,1998,2005,Crossover 2-drzwiowy,1.6 MT 4WD,Crossover,5,3865,1710,1690,2200,1460,1460,1290,,200,,,,,,1750,,828,210,138,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,,,,4000,,,1590,94,5200,Npęd na cztery koła,5,,Manualna,8,,,,,,,,,,,,
Ignis,Suzuki,9,1 generacja,2000,2003,Hatchback 3-drzwiowy,1.3 MT,Hatchback,5,3615,1595,1540,2360,1405,1385,,,180,,,,,,1430,,,,110,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,,,,3500,,,1328,83,5500,Npęd na przednie koła,5,9,,,,,,,,,,,,,,
Swift,Suzuki,9,1 generacja,1984,1986,Hatchback 3-drzwiowy,1.0 AT,Hatchback,5,3580,1530,1350,2240,,,675,,,,,,,,800,,,,75,Gaźnik,,Inline,3,,Benzyna,2,,74,77,,3600,,,993,50,5800,Npęd na przednie koła,3,9,,,,,,,,,,,,,,
Avensis,Toyota,10,1 generacja,1997,2000,Hatchback,1.6 MT,Hatchback,5,4490,1710,1425,2630,1480,1450,1200,,,,,,,,,,,,145,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,4,,81,77,,4800,,Obecny,1587,110,6000,Npęd na przednie koła,5,10,,,,,,,,,,,,,,
Yaris,Toyota,10,1 generacja,1999,2003,Hatchback 3-drzwiowy,1.0 AT,,5,3615,1660,1500,2370,,,830,175/65/R14,,,,1430,1450,120,1320,,950,205,90,Wtrysk bezpoĹ›redni (wielopunktowy),,inline,4,10,Benzyna,4,Brak,69,66,Przód,4100,50,,998,68,6000,Npęd na przednie koła,4,,Automatyczna,,,45,13,,,,,,,,,
Golf,Volkswagen,11,1 generacja,1974,1993,Kabriolet,1.5 MT,Kabriolet,5,3820,1610,1412,2400,1392,1347,910,,125,,,,,,,,220,220,110,Gaźnik,,Inline,4,,Benzyna,2,,79,73,,2500,,,1457,70,5600,Npęd na przednie koła,4,10,,,,,,,,,,,,,,
Passat,Volkswagen,11,B1,1973,1977,Fastback 2-drzwiowy,1.3 MT,Fastback,5,4180,1600,1360,2470,1341,1349,885,,180,,,,,,,,,,91,Gaźnik,,Inline,4,,Benzyna,2,,75,72,,3500,,,1297,55,5800,Npęd na przednie koła,4,10,,,,,,,,,,,,,,
